source_system,product_no,product_code,product_name,display,selling,price_krw,retail_price_krw,supply_price_krw,made_date,created_date,updated_date
cafe24,381,P00000OR,[💝더블데이💝] 엔트로피 오간자 핏 스파츌라 파운데이션 1+1,F,F,19900,76000,11000,,2026-06-02,2026-06-08
cafe24,380,P00000OQ,[배송비딜] 선 스틱 바디 하이라이터,F,F,3000,39000,0,,2026-05-28,2026-06-01
cafe24,379,P00000OP,[직원용] 엔트로피 튤 글로스 샴페인 컬렉션 - T11 상그리아,T,T,16000,16000,2888,,2026-05-28,2026-06-04
cafe24,378,P00000OO,[모란디파크]  코코넛 워터 피디알엔 선 세럼,T,T,22000,22000,4000,,2026-05-28,2026-05-28
cafe24,377,P00000ON,엔트로피 튤 글로스 샴페인 컬렉션 (4 Colors),T,T,14400,16000,2888,,2026-05-22,2026-06-10
cafe24,376,P00000OM,[테스트]  엔트로피 셀프 래쉬펌,T,F,42300,47000,9405,,2026-05-14,2026-05-21
cafe24,375,P00000OL,[7차] 설아 X ENTROPY Make up,F,F,22900,36000,4000,,2026-05-12,2026-05-26
cafe24,374,P00000OK,[첫 구매딜] 엔트로피 원 유즈 브로우,T,T,7900,7900,800,,2026-04-30,2026-05-26
cafe24,373,P00000OJ,[★체크박스 선택 필수★] 3만원 이상 구매 시 참틴트 증정(테스트),F,F,0,0,3266,,2026-04-30,2026-05-15
cafe24,372,P00000OI,[첫 구매딜] 엔트로피 원 유즈 트라이얼 키트<br>(원유즈 블리치&원유즈 애쉬브라운&원유즈 베이지 브라운),T,F,23700,23700,0,,2026-04-30,2026-05-26
cafe24,371,P00000OH,[💝더블데이💝] 튤 글로스  1+1,F,F,32000,32000,6000,,2026-04-29,2026-05-15
cafe24,370,P00000OG,[배송비딜] 스프링 웜톤 룩 참틴트 듀오(#피치스톤젬 + #선스톤참),T,F,3000,3000,0,,2026-04-27,2026-05-15
cafe24,369,P00000OF,[첫구매딜] 오간자 핏 스파츌라 파운데이션 (4 Colors),T,T,38000,38000,5500,,2026-04-23,2026-06-10
cafe24,368,P00000OE,[첫 구매딜] 엔트로피 참 틴트 (10 Colors),T,T,18000,18000,0,,2026-04-23,2026-06-09
cafe24,367,P00000OD,[★체크박스 선택 필수★] 3만원 이상 구매 시 참틴트 증정,F,F,0,0,0,,2026-04-23,2026-05-18
cafe24,366,P00000OC,[★체크박스 선택 필수★] 3만원 이상 구매 시 참틴트 글로시 증정,F,F,0,0,0,,2026-04-23,2026-05-15
cafe24,365,P00000OB,[★체크박스 선택 필수★] 3만원 이상 구매 시 참틴트 블러리 증정,F,F,0,0,0,,2026-04-23,2026-05-15
cafe24,364,P00000OA,[직원용] 엔트로피 슬라이드 업 립 앤 치크 스무디 에디션 - L4 피그 펀치,T,T,11000,11000,2500,,2026-04-22,2026-05-15
cafe24,363,P00000NZ,[직원용] 엔트로피 참 틴트 스무디 에디션- M1 구아바 슬라이스,T,T,11000,11000,0,,2026-04-22,2026-05-15
cafe24,361,P00000NX,[🍹스무디 에디션🍹] 테스트용,T,F,19800,22000,5000,,2026-04-22,2026-05-15
cafe24,359,P00000NV,[NEW] 엔트로피 원 유즈 브로우 컬러 베이지 브라운,F,F,7500,7900,0,,2026-04-17,2026-05-26
cafe24,358,P00000NU,[10차] 리나 X ENTROPY Make up,F,F,22900,36000,4000,,2026-04-17,2026-05-15
cafe24,357,P00000NT,[단독기획] LIP & CHEEK LAYERING SET,T,T,24600,29000,6000,,2026-04-09,2026-05-15
cafe24,356,P00000NS,[단독기획] CHEEK & TINT PAIRING SET,T,T,32300,38000,7500,,2026-04-09,2026-05-15
cafe24,355,P00000NR,[🍹스무디 에디션🍹] 엔트로피 스무디 에디션 듀오 SET,T,T,19800,22000,5000,,2026-04-07,2026-05-15
cafe24,354,P00000NQ,엔트로피 슬라이드 업 립 앤 치크 스무디 에디션,T,T,10450,11000,2500,,2026-04-07,2026-05-15
cafe24,353,P00000NP,엔트로피 참 틴트 스무디 에디션,T,T,10450,11000,0,,2026-04-07,2026-05-15
cafe24,350,P00000NM,[RENEWAL] 고은 X 브로우 컬러 & 블리치,F,F,28500,36000,4000,,2026-03-27,2026-05-15
cafe24,349,P00000NL,[7차] 듀앳 X ENTROPY Make up,F,F,22900,36000,4000,,2026-03-27,2026-05-15
cafe24,348,P00000NK,[센찌 x 도즈] 엔트로피 마켓_2,T,F,39900,61000,10100,,2026-03-25,2026-05-15
cafe24,347,P00000NJ,[센찌 x 도즈] 엔트로피 마켓,F,F,39900,61000,10100,,2026-03-25,2026-05-15
cafe24,346,P00000NI,[수미 x 엔트로피 메이크업]  수미 치크 마켓,F,F,18900,27000,0,,2026-03-19,2026-05-15
cafe24,345,P00000NH,[🚨한정 수량 비밀 링크🚨] 터프 브로우 리프트펌 + 터프 브로우 피니셔 SET,T,T,29900,61000,7000,,2026-03-05,2026-06-10
cafe24,344,P00000NG,[🚨한정 수량 비밀 링크🚨] 롱래스팅 오간자 핏 스파츌라 파운데이션 (4 Colors),T,T,19900,38000,5400,,2026-03-05,2026-06-10
cafe24,343,P00000NF,[모란디파크] 효소 파우더 클렌저,T,T,25000,25000,4000,,2026-03-05,2026-05-15
cafe24,342,P00000NE,[모란디파크] 막수밤,T,T,24000,24000,4000,,2026-03-05,2026-05-15
cafe24,338,P00000NA,[참 틴트 듀오 + 튤 글로스 SET 구매 시 선택] 참틴트 글로시 & 블러리,F,F,10200,18000,3266,,2026-02-13,2026-05-15
cafe24,337,P00000MZ,[단독기획]튤 글로스 & 참 틴트 듀오,F,F,34000,40000,0,,2026-02-13,2026-05-15
cafe24,336,P00000MY,[마테 x 엔트로피 메이크업]  마테 립 마켓,F,F,20400,34000,6000,,2026-02-13,2026-05-15
cafe24,335,P00000MX,[첫 구매딜] 선 스틱 바디 하이라이터,T,T,39000,39000,0,,2026-01-15,2026-05-15
cafe24,334,P00000MW,[첫 구매딜] 글로우 세럼 바디 하이라이터 (2 Colors),T,F,31000,31000,0,,2026-01-12,2026-05-15
cafe24,333,P00000MV,[첫 구매딜] 쿨 스틱 바디 하이라이터,F,F,28000,28000,0,,2026-01-12,2026-05-15
