date,currency,rate_to_krw,rate_source,label
2024-01-02,JPY100,915.6,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-02,USD,1289.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-03,JPY100,914.55,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-03,USD,1299.3,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-04,JPY100,914.76,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-04,USD,1308.8,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-05,JPY100,905.68,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-05,USD,1310.2,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-08,JPY100,907.47,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-08,USD,1313.7,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-09,JPY100,912.14,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-09,USD,1314.8,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-10,JPY100,908.94,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-10,USD,1312.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-11,JPY100,906.6,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-11,USD,1320.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-12,JPY100,906.24,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-12,USD,1316,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-15,JPY100,906.03,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-15,USD,1314.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-16,JPY100,905.09,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-16,USD,1319.3,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
